Reporting country,Reference period,Undertaking type,Value,Item name,Item code,"Number of submissions (per reporting country, reference date and undertaking type)",Date of extraction (yyyymmdd)
AUSTRIA,2016 Q3,Life undertakings,,Assets,R0001,7,20250930
AUSTRIA,2016 Q3,Life undertakings,,Goodwill,R0010,7,20250930
AUSTRIA,2016 Q3,Life undertakings,,Deferred acquisition costs,R0020,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Intangible assets,R0030,7,20250930
AUSTRIA,2016 Q3,Life undertakings,9.520457,Deferred tax assets,R0040,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Pension benefit surplus,R0050,7,20250930
AUSTRIA,2016 Q3,Life undertakings,5.50962,"Property, plant & equipment held for own use",R0060,7,20250930
AUSTRIA,2016 Q3,Life undertakings,7396.485626,Investments (other than assets held for index-linked and unit-linked contracts),R0070,7,20250930
AUSTRIA,2016 Q3,Life undertakings,3.266,Property (other than for own use),R0080,7,20250930
AUSTRIA,2016 Q3,Life undertakings,3350.236608,"Holdings in related undertakings, including participations",R0090,7,20250930
AUSTRIA,2016 Q3,Life undertakings,5.170058,Equities,R0100,7,20250930
AUSTRIA,2016 Q3,Life undertakings,2.5216,Equities - listed,R0110,7,20250930
AUSTRIA,2016 Q3,Life undertakings,2.648458,Equities - unlisted,R0120,7,20250930
AUSTRIA,2016 Q3,Life undertakings,3184.440988,Bonds,R0130,7,20250930
AUSTRIA,2016 Q3,Life undertakings,1475.242219,Government Bonds,R0140,7,20250930
AUSTRIA,2016 Q3,Life undertakings,1444.63339,Corporate Bonds,R0150,7,20250930
AUSTRIA,2016 Q3,Life undertakings,264.565379,Structured notes,R0160,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Collateralised securities,R0170,7,20250930
AUSTRIA,2016 Q3,Life undertakings,794.73489,Collective Investments Undertakings,R0180,7,20250930
AUSTRIA,2016 Q3,Life undertakings,44.25741,Derivatives,R0190,7,20250930
AUSTRIA,2016 Q3,Life undertakings,14.379672,Deposits other than cash equivalents,R0200,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Other investments,R0210,7,20250930
AUSTRIA,2016 Q3,Life undertakings,7937.368362,Assets held for index-linked and unit-linked contracts,R0220,7,20250930
AUSTRIA,2016 Q3,Life undertakings,145.899938,Loans and mortgages,R0230,7,20250930
AUSTRIA,2016 Q3,Life undertakings,1.864969,Loans on policies,R0240,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.054146,Loans and mortgages to individuals,R0250,7,20250930
AUSTRIA,2016 Q3,Life undertakings,143.980823,Other loans and mortgages,R0260,7,20250930
AUSTRIA,2016 Q3,Life undertakings,472.016098,Reinsurance recoverables from:,R0270,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Non-life and health similar to non-life,R0280,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Non-life excluding health,R0290,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Health similar to non-life,R0300,7,20250930
AUSTRIA,2016 Q3,Life undertakings,74.490862,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Health similar to life,R0320,7,20250930
AUSTRIA,2016 Q3,Life undertakings,74.490862,Life excluding health and index-linked and unit-linked,R0330,7,20250930
AUSTRIA,2016 Q3,Life undertakings,397.525235,Life index-linked and unit-linked,R0340,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Deposits to cedants,R0350,7,20250930
AUSTRIA,2016 Q3,Life undertakings,10.635882,Insurance and intermediaries receivables,R0360,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.000402,Reinsurance receivables,R0370,7,20250930
AUSTRIA,2016 Q3,Life undertakings,19.22126,"Receivables (trade, not insurance)",R0380,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Own shares (held directly),R0390,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,7,20250930
AUSTRIA,2016 Q3,Life undertakings,54.543781,Cash and cash equivalents,R0410,7,20250930
AUSTRIA,2016 Q3,Life undertakings,68.3291,"Any other assets, not elsewhere shown",R0420,7,20250930
AUSTRIA,2016 Q3,Life undertakings,16119.530526,Total assets,R0500,7,20250930
AUSTRIA,2016 Q3,Life undertakings,,Liabilities,R0501,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Technical provisions – non-life,R0510,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Technical provisions – non-life (excluding health),R0520,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Technical provisions calculated as a whole,R0530,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Best Estimate,R0540,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Risk margin,R0550,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Technical provisions - health (similar to non-life),R0560,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Technical provisions calculated as a whole,R0570,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Best Estimate,R0580,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Risk margin,R0590,7,20250930
AUSTRIA,2016 Q3,Life undertakings,6717.001894,Technical provisions - life (excluding index-linked and unit-linked),R0600,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Technical provisions - health (similar to life),R0610,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Technical provisions calculated as a whole,R0620,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Best Estimate,R0630,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Risk margin,R0640,7,20250930
AUSTRIA,2016 Q3,Life undertakings,6717.001894,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,7,20250930
AUSTRIA,2016 Q3,Life undertakings,0.0,Technical provisions calculated as a whole,R0660,7,20250930
AUSTRIA,2016 Q3,Life undertakings,6655.999519,Best Estimate,R0670,7,20250930
AUSTRIA,2016 Q3,Life undertakings,61.002375,Risk margin,R0680,7,20250930
