Reporting country,Reference period,Item code,Item name,Value,Undertaking type,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2016 Q3,R0500,Total available own funds to meet the SCR,856.112328,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0500,Total available own funds to meet the SCR,16353.071138,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0500,Total available own funds to meet the SCR,15943.253781,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0510,Total available own funds to meet the MCR,856.112328,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0510,Total available own funds to meet the MCR,16316.286682,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0510,Total available own funds to meet the MCR,15779.531667,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0540,Total eligible own funds to meet the SCR,856.112328,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0540,Total eligible own funds to meet the SCR,15924.963423,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0540,Total eligible own funds to meet the SCR,15943.253781,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0550,Total eligible own funds to meet the MCR,856.112328,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0550,Total eligible own funds to meet the MCR,14556.285395,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0550,Total eligible own funds to meet the MCR,15414.075853,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0580,SCR,528.282922,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0580,SCR,4636.715539,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0580,SCR,8283.829339,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0600,MCR,223.447644,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0600,MCR,1221.940684,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0600,MCR,2621.593541,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0620,Ratio of Eligible own funds to SCR,2.43325,All undertaking types,20250930,41
AUSTRIA,2016 Q3,R0620,Ratio of Eligible own funds to SCR,1.62056,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0620,Ratio of Eligible own funds to SCR,3.43454,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0620,Ratio of Eligible own funds to SCR,1.92462,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.2633,All undertaking types,20250930,41
AUSTRIA,2016 Q3,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.7156,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.45125,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.25633,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.70325,All undertaking types,20250930,41
AUSTRIA,2016 Q3,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.03205,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.1699,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.6149,Other undertakings,20250930,19
