Reporting country,Reference period,Item,Business type,Item code,Value,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2016 Q3,Premiums written,Non-Life,R0101,,20250930,41
AUSTRIA,2016 Q3,Gross - Direct Business,Non-Life,R0110,7014.674593,20250930,41
AUSTRIA,2016 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,1227.558933,20250930,41
AUSTRIA,2016 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,30.519672,20250930,41
AUSTRIA,2016 Q3,Reinsurers' share,Non-Life,R0140,2577.818515,20250930,41
AUSTRIA,2016 Q3,Net,Non-Life,R0200,5694.934683,20250930,41
AUSTRIA,2016 Q3,Premiums earned,Non-Life,R0201,,20250930,41
AUSTRIA,2016 Q3,Gross - Direct Business,Non-Life,R0210,6658.226021,20250930,41
AUSTRIA,2016 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,1168.639099,20250930,41
AUSTRIA,2016 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,32.661139,20250930,41
AUSTRIA,2016 Q3,Reinsurers' share,Non-Life,R0240,2414.193167,20250930,41
AUSTRIA,2016 Q3,Net,Non-Life,R0300,5445.333093,20250930,41
AUSTRIA,2016 Q3,Claims incurred,Non-Life,R0301,,20250930,41
AUSTRIA,2016 Q3,Changes in other technical provisions,Non-Life,R0401,,20250930,41
AUSTRIA,2016 Q3,Gross - Direct Business,Non-Life,R0410,15.45244,20250930,41
AUSTRIA,2016 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0420,-1.936773,20250930,41
AUSTRIA,2016 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,41
AUSTRIA,2016 Q3,Reinsurers' share,Non-Life,R0440,16.589079,20250930,41
AUSTRIA,2016 Q3,Net,Non-Life,R0500,-3.073412,20250930,41
AUSTRIA,2016 Q3,Premiums written,Life,R1401,,20250930,41
AUSTRIA,2016 Q3,Premiums earned,Life,R1501,,20250930,41
AUSTRIA,2016 Q3,Claims incurred,Life,R1601,,20250930,41
AUSTRIA,2016 Q3,Changes in other technical provisions,Life,R1701,,20250930,41
AUSTRIA,2016 Q4,Premiums written,Non-Life,R0101,,20250930,38
AUSTRIA,2016 Q4,Gross - Direct Business,Non-Life,R0110,8820.385891,20250930,38
AUSTRIA,2016 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0120,1614.83465,20250930,38
AUSTRIA,2016 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,46.186761,20250930,38
AUSTRIA,2016 Q4,Reinsurers' share,Non-Life,R0140,3317.361617,20250930,38
AUSTRIA,2016 Q4,Net,Non-Life,R0200,7164.045685,20250930,38
AUSTRIA,2016 Q4,Premiums earned,Non-Life,R0201,,20250930,38
AUSTRIA,2016 Q4,Gross - Direct Business,Non-Life,R0210,8806.180214,20250930,38
AUSTRIA,2016 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0220,1595.939149,20250930,38
AUSTRIA,2016 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,46.382934,20250930,38
AUSTRIA,2016 Q4,Reinsurers' share,Non-Life,R0240,3312.562573,20250930,38
AUSTRIA,2016 Q4,Net,Non-Life,R0300,7135.939725,20250930,38
AUSTRIA,2016 Q4,Claims incurred,Non-Life,R0301,,20250930,38
AUSTRIA,2016 Q4,Changes in other technical provisions,Non-Life,R0401,,20250930,38
AUSTRIA,2016 Q4,Gross - Direct Business,Non-Life,R0410,-7.906484,20250930,38
AUSTRIA,2016 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0420,-3.280393,20250930,38
AUSTRIA,2016 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,-0.497,20250930,38
AUSTRIA,2016 Q4,Reinsurers' share,Non-Life,R0440,6.108176,20250930,38
AUSTRIA,2016 Q4,Net,Non-Life,R0500,-17.792053,20250930,38
AUSTRIA,2016 Q4,Premiums written,Life,R1401,,20250930,38
AUSTRIA,2016 Q4,Premiums earned,Life,R1501,,20250930,38
AUSTRIA,2016 Q4,Claims incurred,Life,R1601,,20250930,38
AUSTRIA,2016 Q4,Changes in other technical provisions,Life,R1701,,20250930,38
AUSTRIA,2017 Q1,Premiums written,Non-Life,R0101,,20250930,38
AUSTRIA,2017 Q1,Gross - Direct Business,Non-Life,R0110,3059.089616,20250930,38
AUSTRIA,2017 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0120,450.625879,20250930,38
AUSTRIA,2017 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,10.438059,20250930,38
AUSTRIA,2017 Q1,Reinsurers' share,Non-Life,R0140,1097.695133,20250930,38
AUSTRIA,2017 Q1,Net,Non-Life,R0200,2422.458421,20250930,38
AUSTRIA,2017 Q1,Premiums earned,Non-Life,R0201,,20250930,38
AUSTRIA,2017 Q1,Gross - Direct Business,Non-Life,R0210,2313.236505,20250930,38
AUSTRIA,2017 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0220,400.848218,20250930,38
AUSTRIA,2017 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,10.184097,20250930,38
AUSTRIA,2017 Q1,Reinsurers' share,Non-Life,R0240,825.560222,20250930,38
AUSTRIA,2017 Q1,Net,Non-Life,R0300,1898.708598,20250930,38
AUSTRIA,2017 Q1,Claims incurred,Non-Life,R0301,,20250930,38
AUSTRIA,2017 Q1,Gross - Direct Business,Non-Life,R0310,1267.119532,20250930,38
AUSTRIA,2017 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0320,235.261115,20250930,38
AUSTRIA,2017 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,11.69123,20250930,38
AUSTRIA,2017 Q1,Reinsurers' share,Non-Life,R0340,348.606995,20250930,38
AUSTRIA,2017 Q1,Net,Non-Life,R0400,1165.464882,20250930,38
AUSTRIA,2017 Q1,Changes in other technical provisions,Non-Life,R0401,,20250930,38
AUSTRIA,2017 Q1,Gross - Direct Business,Non-Life,R0410,-5.849355,20250930,38
AUSTRIA,2017 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.027128,20250930,38
AUSTRIA,2017 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,38
AUSTRIA,2017 Q1,Reinsurers' share,Non-Life,R0440,0.280419,20250930,38
AUSTRIA,2017 Q1,Net,Non-Life,R0500,-6.102646,20250930,38
AUSTRIA,2017 Q1,Expenses incurred,Non-Life,R0550,465.735764,20250930,38
AUSTRIA,2017 Q1,Other expenses,Non-Life,R1200,219.698693,20250930,38
AUSTRIA,2017 Q1,Balance - other technical expenses/income,Non-Life,R1210,,20250930,38
AUSTRIA,2017 Q1,Total technical expenses,Non-Life,R1300,685.434456,20250930,38
AUSTRIA,2017 Q1,Premiums written,Life,R1401,,20250930,38
AUSTRIA,2017 Q1,Premiums earned,Life,R1501,,20250930,38
AUSTRIA,2017 Q1,Claims incurred,Life,R1601,,20250930,38
AUSTRIA,2017 Q1,Changes in other technical provisions,Life,R1701,,20250930,38
AUSTRIA,2017 Q1,Net Combined Ratio,Non-Life,Z0001,0.86,20250930,38
AUSTRIA,2017 Q1,Net Expense Ratio,Non-Life,Z0002,0.25,20250930,38
AUSTRIA,2017 Q2,Premiums written,Non-Life,R0101,,20250930,38
AUSTRIA,2017 Q2,Gross - Direct Business,Non-Life,R0110,5204.053678,20250930,38
AUSTRIA,2017 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0120,866.694814,20250930,38
AUSTRIA,2017 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,18.023727,20250930,38
AUSTRIA,2017 Q2,Reinsurers' share,Non-Life,R0140,1853.292936,20250930,38
AUSTRIA,2017 Q2,Net,Non-Life,R0200,4235.479282,20250930,38
AUSTRIA,2017 Q2,Premiums earned,Non-Life,R0201,,20250930,38
AUSTRIA,2017 Q2,Gross - Direct Business,Non-Life,R0210,4609.910816,20250930,38
AUSTRIA,2017 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0220,812.142644,20250930,38
AUSTRIA,2017 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,17.854033,20250930,38
AUSTRIA,2017 Q2,Reinsurers' share,Non-Life,R0240,1631.03445,20250930,38
AUSTRIA,2017 Q2,Net,Non-Life,R0300,3808.873043,20250930,38
AUSTRIA,2017 Q2,Claims incurred,Non-Life,R0301,,20250930,38
AUSTRIA,2017 Q2,Gross - Direct Business,Non-Life,R0310,2656.453092,20250930,38
AUSTRIA,2017 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0320,505.655733,20250930,38
AUSTRIA,2017 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,37.049366,20250930,38
AUSTRIA,2017 Q2,Reinsurers' share,Non-Life,R0340,966.493384,20250930,38
AUSTRIA,2017 Q2,Net,Non-Life,R0400,2232.664806,20250930,38
AUSTRIA,2017 Q2,Changes in other technical provisions,Non-Life,R0401,,20250930,38
